# Performance monitoring events for the Intel Xeon Processor Scalable Family.
# Applies to processors with DisplayFamily_DisplayModel of 06_55H.
# See Table 19-3 of Intel's "System Programming Guide" (Jan. 2019)

00.01 INST_RETIRED.ANY
CD.01.MSR_3F6H=64 MEM_TRANS_RETIRED.LOAD_LATENCY_GT_64
CD.01.MSR_3F6H=128 MEM_TRANS_RETIRED.LOAD_LATENCY_GT_128
CD.01.MSR_3F6H=256 MEM_TRANS_RETIRED.LOAD_LATENCY_GT_256
CD.01.MSR_3F6H=512 MEM_TRANS_RETIRED.LOAD_LATENCY_GT_512
D0.11 MEM_INST_RETIRED.STLB_MISS_LOADS
D0.12 MEM_INST_RETIRED.STLB_MISS_STORES
D0.21 MEM_INST_RETIRED.LOCK_LOADS
D0.41 MEM_INST_RETIRED.SPLIT_LOADS
D0.42 MEM_INST_RETIRED.SPLIT_STORES
D0.81 MEM_INST_RETIRED.ALL_LOADS
D0.82 MEM_INST_RETIRED.ALL_STORES
D1.01 MEM_LOAD_RETIRED.L1_HIT
D1.02 MEM_LOAD_RETIRED.L2_HIT
D1.04 MEM_LOAD_RETIRED.L3_HIT
D1.08 MEM_LOAD_RETIRED.L1_MISS
D1.10 MEM_LOAD_RETIRED.L2_MISS
D1.20 MEM_LOAD_RETIRED.L3_MISS
D1.40 MEM_LOAD_RETIRED.FB_HIT
D2.01 MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS
D2.02 MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT
D2.04 MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM
D2.08 MEM_LOAD_L3_HIT_RETIRED.XSNP_NONE
D3.01 MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM
D3.02 MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM
D3.04 MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM
D3.08 MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD
D4.04 MEM_LOAD_MISC_RETIRED.UC
E6.01 BACLEARS.ANY
F0.40 L2_TRANS.L2_WB
F1.1F L2_LINES_IN.ALL
F2.01 L2_LINES_OUT.SILENT
F2.02 L2_LINES_OUT.NON_SILENT
F2.04 L2_LINES_OUT.USELESS_PREF
F2.04 L2_LINES_OUT.USELESS_HWPF
F4.10 SQ_MISC.SPLIT_LOCK
FE.02 IDI_MISC.WB_UPGRADE
FE.04 IDI_MISC.WB_DOWNGRADE
