# Performance monitoring events for processors based on the Westmere microarchitecture.
# Applies to processors with DisplayFamily_DisplayModel of 06_25H and 06_2CH.
# See Table 19-22 of Intel's "System Programming Guide" (Jan. 2019)

03.02 LOAD_BLOCK.OVERLAP_STORE
51.04.CTR=0 L1D.M_EVICT
51.08.CTR=0 L1D.M_SNOOP_EVICT
52.01 L1D_CACHE_PREFETCH_LOCK_FB_HIT
60.01.CTR=0 OFFCORE_REQUESTS_OUTSTANDING.DEMAND.READ_DATA
60.02.CTR=0 OFFCORE_REQUESTS_OUTSTANDING.DEMAND.READ_CODE
60.04.CTR=0 OFFCORE_REQUESTS_OUTSTANDING.DEMAND.RFO
60.08.CTR=0 OFFCORE_REQUESTS_OUTSTANDING.ANY.READ
63.01.CTR=0 CACHE_LOCK_CYCLES.L1D_L2
63.02.CTR=0 CACHE_LOCK_CYCLES.L1D
6C.01 IO_TRANSACTIONS
80.01 L1I.HITS
80.02 L1I.MISSES
80.03 L1I.READS
80.04 L1I.CYCLES_STALLED
82.01 LARGE_ITLB.HIT
85.01 ITLB_MISSES.ANY
85.02 ITLB_MISSES.WALK_COMPLETED
85.04 ITLB_MISSES.WALK_CYCLES
85.10 ITLB_MISSES.STLB_HIT
85.80 ITLB_MISSES.LARGE_WALK_COMPLETED
87.01 ILD_STALL.LCP
87.02 ILD_STALL.MRU
87.04 ILD_STALL.IQ_FULL
87.08 ILD_STALL.REGEN
87.0F ILD_STALL.ANY
88.01 BR_INST_EXEC.COND
88.02 BR_INST_EXEC.DIRECT
88.04 BR_INST_EXEC.INDIRECT_NON_CALL
88.07 BR_INST_EXEC.NON_CALLS
88.08 BR_INST_EXEC.RETURN_NEAR
88.10 BR_INST_EXEC.DIRECT_NEAR_CALL
88.20 BR_INST_EXEC.INDIRECT_NEAR_CALL
88.30 BR_INST_EXEC.NEAR_CALLS
88.40 BR_INST_EXEC.TAKEN
88.7F BR_INST_EXEC.ANY
89.01 BR_MISP_EXEC.COND
89.02 BR_MISP_EXEC.DIRECT
89.04 BR_MISP_EXEC.INDIRECT_NON_CALL
89.07 BR_MISP_EXEC.NON_CALLS
89.08 BR_MISP_EXEC.RETURN_NEAR
89.10 BR_MISP_EXEC.DIRECT_NEAR_CALL
89.20 BR_MISP_EXEC.INDIRECT_NEAR_CALL
89.30 BR_MISP_EXEC.NEAR_CALLS
89.40 BR_MISP_EXEC.TAKEN
89.7F BR_MISP_EXEC.ANY
A2.01 RESOURCE_STALLS.ANY
A2.02 RESOURCE_STALLS.LOAD
A2.04 RESOURCE_STALLS.RS_FULL
A2.08 RESOURCE_STALLS.STORE
A2.10 RESOURCE_STALLS.ROB_FULL
A2.20 RESOURCE_STALLS.FPCW
A2.40 RESOURCE_STALLS.MXCSR
A2.80 RESOURCE_STALLS.OTHER
A6.01 MACRO_INSTS.FUSIONS_DECODED
A7.01 BACLEAR_FORCE_IQ
A8.01 LSD.UOPS
AE.01 ITLB_FLUSH
B0.01 OFFCORE_REQUESTS.DEMAND.READ_DATA
B0.02 OFFCORE_REQUESTS.DEMAND.READ_CODE
B0.04 OFFCORE_REQUESTS.DEMAND.RFO
B0.08 OFFCORE_REQUESTS.ANY.READ
B0.10 OFFCORE_REQUESTS.ANY.RFO
B0.40 OFFCORE_REQUESTS.L1D_WRITEBACK
B0.80 OFFCORE_REQUESTS.ANY
B1.01 UOPS_EXECUTED.PORT0
B1.02 UOPS_EXECUTED.PORT1
B1.04 UOPS_EXECUTED.PORT2_CORE
B1.08 UOPS_EXECUTED.PORT3_CORE
B1.10 UOPS_EXECUTED.PORT4_CORE
B1.1F UOPS_EXECUTED.CORE_ACTIVE_CYCLES_NO_PORT5
B1.20 UOPS_EXECUTED.PORT5
B1.3F UOPS_EXECUTED.CORE_ACTIVE_CYCLES
B1.40 UOPS_EXECUTED.PORT015
B1.80 UOPS_EXECUTED.PORT234
B2.01 OFFCORE_REQUESTS_SQ_FULL
B3.01.CTR=0 SNOOPQ_REQUESTS_OUTSTANDING.DATA
B3.02.CTR=0 SNOOPQ_REQUESTS_OUTSTANDING.INVALIDATE
B3.04.CTR=0 SNOOPQ_REQUESTS_OUTSTANDING.CODE
B4.01 SNOOPQ_REQUESTS.CODE
B4.02 SNOOPQ_REQUESTS.DATA
B4.04 SNOOPQ_REQUESTS.INVALIDATE
B8.01 SNOOP_RESPONSE.HIT
B8.02 SNOOP_RESPONSE.HITE
B8.04 SNOOP_RESPONSE.HITM
C0.00 INST_RETIRED.ANY_P
C0.02 INST_RETIRED.X87
C0.04 INST_RETIRED.MMX
C2.01 UOPS_RETIRED.ANY
C2.02 UOPS_RETIRED.RETIRE_SLOTS
C2.04 UOPS_RETIRED.MACRO_FUSED
C3.01 MACHINE_CLEARS.CYCLES
C3.02 MACHINE_CLEARS.MEM_ORDER
C3.04 MACHINE_CLEARS.SMC
C4.00 BR_INST_RETIRED.ALL_BRANCHES
C4.01 BR_INST_RETIRED.CONDITIONAL
C4.02 BR_INST_RETIRED.NEAR_CALL
C5.00 BR_MISP_RETIRED.ALL_BRANCHES
C5.01 BR_MISP_RETIRED.CONDITIONAL
C5.02 BR_MISP_RETIRED.NEAR_CALL
C5.04 BR_MISP_RETIRED.ALL_BRANCHES
C7.01 SSEX_UOPS_RETIRED.PACKED_SINGLE
C7.02 SSEX_UOPS_RETIRED.SCALAR_SINGLE
C7.04 SSEX_UOPS_RETIRED.PACKED_DOUBLE
C7.08 SSEX_UOPS_RETIRED.SCALAR_DOUBLE
C7.10 SSEX_UOPS_RETIRED.VECTOR_INTEGER
C8.20 ITLB_MISS_RETIRED
CB.01 MEM_LOAD_RETIRED.L1D_HIT
CB.02 MEM_LOAD_RETIRED.L2_HIT
CB.04 MEM_LOAD_RETIRED.L3_UNSHARED_HIT
CB.08 MEM_LOAD_RETIRED.OTHER_CORE_L2_HIT_HITM
CB.10 MEM_LOAD_RETIRED.L3_MISS
CB.40 MEM_LOAD_RETIRED.HIT_LFB
CB.80 MEM_LOAD_RETIRED.DTLB_MISS
CC.01 FP_MMX_TRANS.TO_FP
CC.02 FP_MMX_TRANS.TO_MMX
CC.03 FP_MMX_TRANS.ANY
D0.01 MACRO_INSTS.DECODED
D1.01 UOPS_DECODED.STALL_CYCLES
D1.02 UOPS_DECODED.MS
D1.04 UOPS_DECODED.ESP_FOLDING
D1.08 UOPS_DECODED.ESP_SYNC
D2.01 RAT_STALLS.FLAGS
D2.02 RAT_STALLS.REGISTERS
D2.04 RAT_STALLS.ROB_READ_PORT
D2.08 RAT_STALLS.SCOREBOARD
D2.0F RAT_STALLS.ANY
D4.01 SEG_RENAME_STALLS
D5.01 ES_REG_RENAMES
DB.01 UOP_UNFUSION
E0.01 BR_INST_DECODED
E5.01 BPU_MISSED_CALL_RET
E6.01 BACLEAR.CLEAR
E6.02 BACLEAR.BAD_TARGET
E8.01 BPU_CLEARS.EARLY
E8.02 BPU_CLEARS.LATE
EC.01 THREAD_ACTIVE
F0.01 L2_TRANSACTIONS.LOAD
F0.02 L2_TRANSACTIONS.RFO
F0.04 L2_TRANSACTIONS.IFETCH
F0.08 L2_TRANSACTIONS.PREFETCH
F0.10 L2_TRANSACTIONS.L1D_WB
F0.20 L2_TRANSACTIONS.FILL
F0.40 L2_TRANSACTIONS.WB
F0.80 L2_TRANSACTIONS.ANY
F1.02 L2_LINES_IN.S_STATE
F1.04 L2_LINES_IN.E_STATE
F1.07 L2_LINES_IN.ANY
F2.01 L2_LINES_OUT.DEMAND_CLEAN
F2.02 L2_LINES_OUT.DEMAND_DIRTY
F2.04 L2_LINES_OUT.PREFETCH_CLEAN
F2.08 L2_LINES_OUT.PREFETCH_DIRTY
F2.0F L2_LINES_OUT.ANY
F4.04 SQ_MISC.LRU_HINTS
F4.10 SQ_MISC.SPLIT_LOCK
F6.01 SQ_FULL_STALL_CYCLES
F7.01 FP_ASSIST.ALL
F7.02 FP_ASSIST.OUTPUT
F7.04 FP_ASSIST.INPUT
FD.01 SIMD_INT_64.PACKED_MPY
FD.02 SIMD_INT_64.PACKED_SHIFT
FD.04 SIMD_INT_64.PACK
FD.08 SIMD_INT_64.UNPACK
FD.10 SIMD_INT_64.PACKED_LOGICAL
FD.20 SIMD_INT_64.PACKED_ARITH
FD.40 SIMD_INT_64.SHUFFLE_MOVE
