# Based on https://download.01.org/perfmon/GLP/goldmontplus_core_v1.01.json
# Applies to processors with family-model in {6-7A}

# Loads blocked due to store data not ready (Precise event capable)
03.01 LD_BLOCKS.DATA_UNKNOWN
C5.7E BR_MISP_RETIRED.JCC

# Retired mispredicted instructions of near indirect Jmp or near indirect call (Precise event capable)
C5.EB BR_MISP_RETIRED.NON_RETURN_IND

# Retired mispredicted near return instructions (Precise event capable)
C5.F7 BR_MISP_RETIRED.RETURN

# Retired mispredicted near indirect call instructions (Precise event capable)
C5.FB BR_MISP_RETIRED.IND_CALL

# Retired mispredicted conditional branch instructions that were taken (Precise event capable)
C5.FE BR_MISP_RETIRED.TAKEN_JCC

# Unfilled issue slots per cycle
CA.00 ISSUE_SLOTS_NOT_CONSUMED.ANY

# Unfilled issue slots per cycle because of a full resource in the backend
CA.01 ISSUE_SLOTS_NOT_CONSUMED.RESOURCE_FULL

# Unfilled issue slots per cycle to recover
CA.02 ISSUE_SLOTS_NOT_CONSUMED.RECOVERY

# Hardware interrupts received
CB.01 HW_INTERRUPTS.RECEIVED

# Cycles hardware interrupts are masked
CB.02 HW_INTERRUPTS.MASKED

# Cycles pending interrupts are masked
CB.04 HW_INTERRUPTS.PENDING_AND_MASKED

# Cycles a divider is busy
CD.00 CYCLES_DIV_BUSY.ALL

# Cycles the integer divide unit is busy
CD.01 CYCLES_DIV_BUSY.IDIV

# Cycles the FP divide unit is busy
CD.02 CYCLES_DIV_BUSY.FPDIV

# Load uops retired that missed the DTLB (Precise event capable)
D0.11 MEM_UOPS_RETIRED.DTLB_MISS_LOADS

# Store uops retired that missed the DTLB (Precise event capable)
D0.12 MEM_UOPS_RETIRED.DTLB_MISS_STORES

# Memory uops retired that missed the DTLB (Precise event capable)
D0.13 MEM_UOPS_RETIRED.DTLB_MISS

# Locked load uops retired (Precise event capable)
D0.21 MEM_UOPS_RETIRED.LOCK_LOADS

# Load uops retired that split a cache-line (Precise event capable)
D0.41 MEM_UOPS_RETIRED.SPLIT_LOADS

# Stores uops retired that split a cache-line (Precise event capable)
D0.42 MEM_UOPS_RETIRED.SPLIT_STORES

# Memory uops retired that split a cache-line (Precise event capable)
D0.43 MEM_UOPS_RETIRED.SPLIT

# Load uops retired (Precise event capable)
D0.81 MEM_UOPS_RETIRED.ALL_LOADS

# Store uops retired (Precise event capable)
D0.82 MEM_UOPS_RETIRED.ALL_STORES

# Memory uops retired (Precise event capable)
D0.83 MEM_UOPS_RETIRED.ALL

# Load uops retired that hit L1 data cache (Precise event capable)
D1.01 MEM_LOAD_UOPS_RETIRED.L1_HIT

# Load uops retired that hit L2 (Precise event capable)
D1.02 MEM_LOAD_UOPS_RETIRED.L2_HIT

# Load uops retired that missed L1 data cache (Precise event capable)
D1.08 MEM_LOAD_UOPS_RETIRED.L1_MISS

# Load uops retired that missed L2 (Precise event capable)
D1.10 MEM_LOAD_UOPS_RETIRED.L2_MISS

# Memory uop retired where cross core or cross module HITM occurred (Precise event capable)
D1.20 MEM_LOAD_UOPS_RETIRED.HITM

# Loads retired that hit WCB (Precise event capable)
D1.40 MEM_LOAD_UOPS_RETIRED.WCB_HIT

# Loads retired that came from DRAM (Precise event capable)
D1.80 MEM_LOAD_UOPS_RETIRED.DRAM_HIT

# BACLEARs asserted for any branch type
E6.01 BACLEARS.ALL

# BACLEARs asserted for return branch
E6.08 BACLEARS.RETURN

# BACLEARs asserted for conditional branch
E6.10 BACLEARS.COND

# MS decode starts
E7.01 MS_DECODED.MS_ENTRY

# Decode restrictions due to predicting wrong instruction length
E9.01 DECODE_RESTRICTION.PREDECODE_WRONG
