# Based on https://download.01.org/perfmon/GLM/goldmont_core_v13.json
# Applies to processors with family-model in {6-5C, 6-5F}

# Loads blocked due to store data not ready (Precise event capable)
03.01 LD_BLOCKS.DATA_UNKNOWN
D0.11 MEM_UOPS_RETIRED.DTLB_MISS_LOADS

# Store uops retired that missed the DTLB (Precise event capable)
D0.12 MEM_UOPS_RETIRED.DTLB_MISS_STORES

# Memory uops retired that missed the DTLB (Precise event capable)
D0.13 MEM_UOPS_RETIRED.DTLB_MISS

# Locked load uops retired (Precise event capable)
D0.21 MEM_UOPS_RETIRED.LOCK_LOADS

# Load uops retired that split a cache-line (Precise event capable)
D0.41 MEM_UOPS_RETIRED.SPLIT_LOADS

# Stores uops retired that split a cache-line (Precise event capable)
D0.42 MEM_UOPS_RETIRED.SPLIT_STORES

# Memory uops retired that split a cache-line (Precise event capable)
D0.43 MEM_UOPS_RETIRED.SPLIT

# Load uops retired (Precise event capable)
D0.81 MEM_UOPS_RETIRED.ALL_LOADS

# Store uops retired (Precise event capable)
D0.82 MEM_UOPS_RETIRED.ALL_STORES

# Memory uops retired (Precise event capable)
D0.83 MEM_UOPS_RETIRED.ALL

# Load uops retired that hit L1 data cache (Precise event capable)
D1.01 MEM_LOAD_UOPS_RETIRED.L1_HIT

# Load uops retired that hit L2 (Precise event capable)
D1.02 MEM_LOAD_UOPS_RETIRED.L2_HIT

# Load uops retired that missed L1 data cache (Precise event capable)
D1.08 MEM_LOAD_UOPS_RETIRED.L1_MISS

# Load uops retired that missed L2 (Precise event capable)
D1.10 MEM_LOAD_UOPS_RETIRED.L2_MISS

# Memory uop retired where cross core or cross module HITM occurred (Precise event capable)
D1.20 MEM_LOAD_UOPS_RETIRED.HITM

# Loads retired that hit WCB (Precise event capable)
D1.40 MEM_LOAD_UOPS_RETIRED.WCB_HIT

# Loads retired that came from DRAM (Precise event capable)
D1.80 MEM_LOAD_UOPS_RETIRED.DRAM_HIT

# BACLEARs asserted for any branch type
E6.01 BACLEARS.ALL

# BACLEARs asserted for return branch
E6.08 BACLEARS.RETURN

# BACLEARs asserted for conditional branch
E6.10 BACLEARS.COND

# MS decode starts
E7.01 MS_DECODED.MS_ENTRY

# Decode restrictions due to predicting wrong instruction length
E9.01 DECODE_RESTRICTION.PREDECODE_WRONG
